Component,Path,Compatibility Score,Compatibility Level,Issues
"Dashboard","src\components\dashboard\Dashboard.tsx","95%","High Compatibility",""
"DistributorField","src\components\food-service\DistributorField.tsx","95%","High Compatibility",""
"layout","src\app\layout.tsx","95%","High Compatibility",""
"LoginComponent","src\components\auth\LoginComponent.tsx","95%","High Compatibility","Uses React hooks (good compatibility) (2×)"
"MappingReview","src\components\excel-migration\MappingReview.tsx","95%","High Compatibility","Uses React hooks (good compatibility) (1×)"
"MigrationDashboard","src\components\excel-migration\MigrationDashboard.tsx","98%","Full Compatibility","Uses React hooks (good compatibility) (4×)"
"MobileOptimizedDashboard","src\components\examples\MobileOptimizedDashboard.tsx","98%","Full Compatibility","Uses React hooks (good compatibility) (4×)"
"NetworkStatus","src\components\NetworkStatus.tsx","98%","Full Compatibility","Uses React hooks (good compatibility) (5×)"
"page","src\app\contacts\page.tsx","95%","High Compatibility",""
"PriorityBadge","src\components\food-service\PriorityBadge.tsx","95%","High Compatibility",""
"PullToRefresh","src\components\ui\PullToRefresh.tsx","95%","High Compatibility","Uses React hooks (good compatibility) (1×)"
"PWAInstaller","src\components\PWAInstaller.tsx","98%","Full Compatibility","Uses React hooks (good compatibility) (3×)"
"SegmentSelector","src\components\food-service\SegmentSelector.tsx","95%","High Compatibility",""
"SwipeableCard","src\components\ui\SwipeableCard.tsx","95%","High Compatibility","Uses React hooks (good compatibility) (2×)"
"useDragAndDrop","src\hooks\useDragAndDrop.ts","98%","Full Compatibility","Uses React hooks (good compatibility) (13×)"
"useNetworkStatus","src\hooks\useNetworkStatus.ts","98%","Full Compatibility","Uses React hooks (good compatibility) (4×)"
"useSwipeable","src\hooks\useSwipeable.ts","98%","Full Compatibility","Uses React hooks (good compatibility) (11×)"